,max_depth,min_samples_leaf,min_samples_split,n_estimators,auc
132,,50000,1000,10,0.5335240074035418
133,,50000,1000,50,0.5565255232070963
134,,50000,1000,100,0.5556222272420674
135,,50000,1000,200,0.5551489429333241
136,,50000,10000,10,0.5425120817701107
137,,50000,10000,50,0.5534623390742514
138,,50000,10000,100,0.5552071372835305
139,,50000,10000,200,0.5550330975185301
140,,50000,50000,10,0.537852718568133
141,,50000,50000,50,0.5515271374251981
142,,50000,50000,100,0.5557051129343743
143,,50000,50000,200,0.5556005440532391
144,5.0,2,2,10,0.7810595607811762
145,5.0,2,2,50,0.7954077041740392
146,5.0,2,2,100,0.795906297585357
147,5.0,2,2,200,0.7969570198212375
148,5.0,2,10,10,0.7691849009006464
149,5.0,2,10,50,0.794512834391415
150,5.0,2,10,100,0.7976529805487105
151,5.0,2,10,200,0.7962249877448105
152,5.0,2,100,10,0.7794061875502939
153,5.0,2,100,50,0.7957578958681909
154,5.0,2,100,100,0.7969000694362928
155,5.0,2,100,200,0.7969573675095072
156,5.0,2,1000,10,0.7750487200296615
157,5.0,2,1000,50,0.7939245468549834
158,5.0,2,1000,100,0.7960918493726357
159,5.0,2,1000,200,0.7965751073020939
160,5.0,2,10000,10,0.7670932372882439
161,5.0,2,10000,50,0.7900841042921269
162,5.0,2,10000,100,0.7920642381178578
163,5.0,2,10000,200,0.7931813120440183
164,5.0,2,50000,10,0.7726209428354749
165,5.0,2,50000,50,0.783606441684318
166,5.0,2,50000,100,0.7832297713148666
167,5.0,2,50000,200,0.784579797814791
168,5.0,10,2,10,0.77893374332617
169,5.0,10,2,50,0.7966801589904929
170,5.0,10,2,100,0.7971675850236407
171,5.0,10,2,200,0.7966102882997063
172,5.0,10,10,10,0.7758104919640747
173,5.0,10,10,50,0.7942467329944606
174,5.0,10,10,100,0.7962605230098203
175,5.0,10,10,200,0.7965700419975756
176,5.0,10,100,10,0.7689950783644186
177,5.0,10,100,50,0.7943787632864406
178,5.0,10,100,100,0.795598418225856
179,5.0,10,100,200,0.7966015186449692
180,5.0,10,1000,10,0.776729780575341
181,5.0,10,1000,50,0.7966121028514873
182,5.0,10,1000,100,0.7969905756561337
183,5.0,10,1000,200,0.7969201699729872
184,5.0,10,10000,10,0.773533813898668
185,5.0,10,10000,50,0.7919042214168067
186,5.0,10,10000,100,0.7934611213687777
187,5.0,10,10000,200,0.7929900593346058
188,5.0,10,50000,10,0.7705395302192963
189,5.0,10,50000,50,0.7825634940965523
190,5.0,10,50000,100,0.7843321379130958
191,5.0,10,50000,200,0.7842299178093738
192,5.0,100,2,10,0.7863374442349396
193,5.0,100,2,50,0.7963039818878761
194,5.0,100,2,100,0.7975208469144602
195,5.0,100,2,200,0.7978409209249725
196,5.0,100,10,10,0.7812383264602664
197,5.0,100,10,50,0.796960016891901
198,5.0,100,10,100,0.7982463841655161
199,5.0,100,10,200,0.7983895820652757
200,5.0,100,100,10,0.7836851107748416
201,5.0,100,100,50,0.7958253382063749
202,5.0,100,100,100,0.7982412548260746
203,5.0,100,100,200,0.7980505617400414
204,5.0,100,1000,10,0.7823285940081791
205,5.0,100,1000,50,0.7962609599268455
206,5.0,100,1000,100,0.7963642105915814
207,5.0,100,1000,200,0.7975366910579307
208,5.0,100,10000,10,0.7805309535420404
209,5.0,100,10000,50,0.7928020757725175
210,5.0,100,10000,100,0.7908020416423378
211,5.0,100,10000,200,0.7938073220494063
212,5.0,100,50000,10,0.7678619363393215
213,5.0,100,50000,50,0.778451268833995
214,5.0,100,50000,100,0.7820210648867058
215,5.0,100,50000,200,0.7821925007327365
216,5.0,1000,2,10,0.7466707796641345
217,5.0,1000,2,50,0.7675306931100019
218,5.0,1000,2,100,0.770327067662139
219,5.0,1000,2,200,0.7710196996799141
220,5.0,1000,10,10,0.7545660843129014
221,5.0,1000,10,50,0.7673983501025106
222,5.0,1000,10,100,0.7693733332785202
223,5.0,1000,10,200,0.7705329928042974
