,max_depth,min_samples_leaf,min_samples_split,n_estimators,auc
657,100.0,1000,100,50,0.7733063141091331
658,100.0,1000,100,100,0.7740488401678043
659,100.0,1000,100,200,0.7739110313729742
660,100.0,1000,1000,10,0.763281257587621
661,100.0,1000,1000,50,0.7715165433118075
662,100.0,1000,1000,100,0.7729913493471827
663,100.0,1000,1000,200,0.7734726928408012
664,100.0,1000,10000,10,0.7495024699311028
665,100.0,1000,10000,50,0.7658672658518436
666,100.0,1000,10000,100,0.7667243582642195
667,100.0,1000,10000,200,0.7663265641280222
668,100.0,1000,50000,10,0.7268693899131773
669,100.0,1000,50000,50,0.748186871187152
670,100.0,1000,50000,100,0.7475691571967455
671,100.0,1000,50000,200,0.7490235226318811
672,100.0,10000,2,10,0.63412314334427
673,100.0,10000,2,50,0.6428422171300241
674,100.0,10000,2,100,0.6521966106109897
675,100.0,10000,2,200,0.6524267295018451
676,100.0,10000,10,10,0.6299808913874377
677,100.0,10000,10,50,0.6501158070872548
678,100.0,10000,10,100,0.6519938763970184
679,100.0,10000,10,200,0.6536813068129202
680,100.0,10000,100,10,0.6322841152280136
681,100.0,10000,100,50,0.6548733942496395
682,100.0,10000,100,100,0.6482806369914168
683,100.0,10000,100,200,0.650571122476895
684,100.0,10000,1000,10,0.6263589436131405
685,100.0,10000,1000,50,0.6464890694372626
686,100.0,10000,1000,100,0.6514868264050448
687,100.0,10000,1000,200,0.65005371553268
688,100.0,10000,10000,10,0.6438153804814648
689,100.0,10000,10000,50,0.6521057172019274
690,100.0,10000,10000,100,0.6489543300048117
691,100.0,10000,10000,200,0.649488503719877
692,100.0,10000,50000,10,0.6125430598079943
693,100.0,10000,50000,50,0.648289552510789
694,100.0,10000,50000,100,0.6564298547719772
695,100.0,10000,50000,200,0.6562665457265344
696,100.0,50000,2,10,0.5295527823516961
697,100.0,50000,2,50,0.5531388466976532
698,100.0,50000,2,100,0.5553527141786057
699,100.0,50000,2,200,0.5549224809444456
700,100.0,50000,10,10,0.5410363049170985
701,100.0,50000,10,50,0.5550130802815042
702,100.0,50000,10,100,0.5549105462368162
703,100.0,50000,10,200,0.5560884027311767
704,100.0,50000,100,10,0.5417401713901653
705,100.0,50000,100,50,0.5554588250762974
706,100.0,50000,100,100,0.5553952963227933
707,100.0,50000,100,200,0.5559620807554645
708,100.0,50000,1000,10,0.5432649266806382
709,100.0,50000,1000,50,0.5559088029505608
710,100.0,50000,1000,100,0.5554400974412689
711,100.0,50000,1000,200,0.5562628343178402
712,100.0,50000,10000,10,0.533869251737636
713,100.0,50000,10000,50,0.5536362419625943
714,100.0,50000,10000,100,0.5538845118106892
715,100.0,50000,10000,200,0.5556953328222687
716,100.0,50000,50000,10,0.5219042676582181
717,100.0,50000,50000,50,0.5540847694179745
718,100.0,50000,50000,100,0.55537406515675
719,100.0,50000,50000,200,0.5570098540721523
